Time,sleep_predictions
2021-01-13 18:47:00.500,0.0
2021-01-13 18:47:30.500,1.0
2021-01-13 18:48:00.500,1.0
2021-01-13 18:48:30.500,1.0
2021-01-13 18:49:00.500,1.0
2021-01-13 18:49:30.500,1.0
2021-01-13 18:50:00.500,1.0
2021-01-13 18:50:30.500,1.0
2021-01-13 18:51:00.500,0.0
2021-01-13 18:51:30.500,0.0
2021-01-13 18:52:00.500,0.0
2021-01-13 18:52:30.500,0.0
2021-01-13 18:53:00.500,1.0
2021-01-13 18:53:30.500,1.0
2021-01-13 18:54:00.500,1.0
2021-01-13 18:54:30.500,1.0
2021-01-13 18:55:00.500,1.0
2021-01-13 18:55:30.500,1.0
2021-01-13 18:56:00.500,1.0
2021-01-13 18:56:30.500,1.0
2021-01-13 18:57:00.500,1.0
2021-01-13 18:57:30.500,1.0
2021-01-13 18:58:00.500,1.0
2021-01-13 18:58:30.500,1.0
2021-01-13 18:59:00.500,1.0
2021-01-13 18:59:30.500,1.0
2021-01-13 19:00:00.500,1.0
2021-01-13 19:00:30.500,1.0
2021-01-13 19:01:00.500,1.0
2021-01-13 19:01:30.500,1.0
2021-01-13 19:02:00.500,1.0
2021-01-13 19:02:30.500,1.0
2021-01-13 19:03:00.500,1.0
2021-01-13 19:03:30.500,1.0
2021-01-13 19:04:00.500,1.0
2021-01-13 19:04:30.500,1.0
2021-01-13 19:05:00.500,1.0
2021-01-13 19:05:30.500,1.0
2021-01-13 19:06:00.500,1.0
2021-01-13 19:06:30.500,1.0
2021-01-13 19:07:00.500,1.0
2021-01-13 19:07:30.500,1.0
2021-01-13 19:08:00.500,1.0
2021-01-13 19:08:30.500,1.0
2021-01-13 19:09:00.500,1.0
2021-01-13 19:09:30.500,1.0
2021-01-13 19:10:00.500,1.0
2021-01-13 19:10:30.500,1.0
2021-01-13 19:11:00.500,1.0
2021-01-13 19:11:30.500,1.0
2021-01-13 19:12:00.500,1.0
2021-01-13 19:12:30.500,1.0
2021-01-13 19:13:00.500,1.0
2021-01-13 19:13:30.500,1.0
2021-01-13 19:14:00.500,1.0
2021-01-13 19:14:30.500,1.0
2021-01-13 19:15:00.500,1.0
2021-01-13 19:15:30.500,1.0
2021-01-13 19:16:00.500,1.0
2021-01-13 19:16:30.500,1.0
2021-01-13 19:17:00.500,1.0
2021-01-13 19:17:30.500,1.0
2021-01-13 19:18:00.500,1.0
2021-01-13 19:18:30.500,1.0
2021-01-13 19:19:00.500,1.0
